.Box: 24.9781454025390417,24.9781454025390417,24.9781454025390417
12.058073 8.426073 2.281073 @ 0.500000 C[0,0,1,1]
2.030073 9.589073 2.465073 @ 0.500000 C[0,0,1,1]
3.677073 9.858073 1.548073 @ 0.500000 C[0,0,1,1]
6.593073 9.257073 1.532073 @ 0.500000 C[0,0,1,1]
8.403073 9.342073 1.821073 @ 0.500000 C[0,0,1,1]
9.339073 9.282073 2.051073 @ 0.500000 C[0,0,1,1]
10.218073 9.530073 1.922073 @ 0.500000 C[0,0,1,1]
3.066073 10.628073 1.640073 @ 0.500000 C[0,0,1,1]
6.737073 10.175073 1.716073 @ 0.500000 C[0,0,1,1]
8.733073 10.291073 2.152073 @ 0.500000 C[0,0,1,1]
1.365073 10.998073 1.556073 @ 0.500000 C[0,0,1,1]
4.539073 10.809073 2.351073 @ 0.500000 C[0,0,1,1]
6.253073 11.288073 2.237073 @ 0.500000 C[0,0,1,1]
8.208073 11.166073 2.169073 @ 0.500000 C[0,0,1,1]
8.904073 11.780073 2.268073 @ 0.500000 C[0,0,1,1]
9.304073 11.018073 1.858073 @ 0.500000 C[0,0,1,1]
2.583073 12.346073 1.314073 @ 0.500000 C[0,0,1,1]
7.425073 11.768073 2.153073 @ 0.500000 C[0,0,1,1]
0.500073 10.973073 7.418073 @ 0.500000 C[0,0,1,1]
0.099073 1.941073 2.698073 @ 0.500000 C[0,0,1,1]
1.368073 1.755073 2.251073 @ 0.500000 C[0,0,1,1]
1.063073 3.905073 2.229073 @ 0.500000 C[0,0,1,1]
8.149073 3.860073 2.917073 @ 0.500000 C[0,0,1,1]
8.526073 4.697073 2.762073 @ 0.500000 C[0,0,1,1]
1.435073 4.731073 1.906073 @ 0.500000 C[0,0,1,1]
4.230073 5.609073 2.459073 @ 0.500000 C[0,0,1,1]
2.718073 6.144073 3.528073 @ 0.500000 C[0,0,1,1]
3.319073 5.945073 2.777073 @ 0.500000 C[0,0,1,1]
4.929073 6.189073 2.192073 @ 0.500000 C[0,0,1,1]
5.883073 6.092073 2.202073 @ 0.500000 C[0,0,1,1]
1.156073 6.431073 2.895073 @ 0.500000 C[0,0,1,1]
6.418073 6.855073 2.657073 @ 0.500000 C[0,0,1,1]
10.613073 6.915073 3.381073 @ 0.500000 C[0,0,1,1]
11.574073 6.764073 3.351073 @ 0.500000 C[0,0,1,1]
2.308073 9.404073 12.055073 @ 0.500000 C[0,0,1,1]
5.463073 7.121073 2.641073 @ 0.500000 C[0,0,1,1]
8.241073 7.175073 3.202073 @ 0.500000 C[0,0,1,1]
9.597073 7.257073 3.087073 @ 0.500000 C[0,0,1,1]
1.116073 8.027073 2.525073 @ 0.500000 C[0,0,1,1]
4.398073 7.888073 2.618073 @ 0.500000 C[0,0,1,1]
5.828073 7.944073 2.236073 @ 0.500000 C[0,0,1,1]
6.965073 7.853073 1.912073 @ 0.500000 C[0,0,1,1]
9.196073 8.078073 2.676073 @ 0.500000 C[0,0,1,1]
3.845073 9.327073 2.612073 @ 0.500000 C[0,0,1,1]
6.284073 9.051073 2.543073 @ 0.500000 C[0,0,1,1]
8.330073 8.816073 2.944073 @ 0.500000 C[0,0,1,1]
10.928073 8.657073 2.686073 @ 0.500000 C[0,0,1,1]
12.086073 8.459073 3.243073 @ 0.500000 C[0,0,1,1]
